symbol,timestamp,Open,High,Low,Close,Volume,trade_count,vwap,RSI,MACD,Signal,MA_20,MA_50,BB_upper,BB_lower,Volume_MA,Volume_Ratio
IBM,2025-06-30 09:35:00+00:00,291.4,291.4,291.4,291.4,475.0,19.0,291.4,64.02816642965311,0.0,0.0,291.323645,292.29168000000004,292.98361347715786,289.66367652284214,20783.7,0.8590385734975005
IBM,2025-06-30 12:00:00+00:00,290.5,291.4192,290.5,290.7,1838.0,117.0,290.862391,64.02816642965311,-0.01570512820512704,-0.008725071225070578,291.323645,292.29168000000004,292.98361347715786,289.66367652284214,20783.7,0.8590385734975005
IBM,2025-06-30 12:05:00+00:00,290.38,290.38,290.38,290.38,200.0,3.0,290.38,64.02816642965311,-0.029934631446792537,-0.01741751393889105,291.323645,292.29168000000004,292.98361347715786,289.66367652284214,20783.7,0.8590385734975005
IBM,2025-06-30 12:30:00+00:00,290.38,290.38,290.38,290.38,197.0,9.0,290.38,64.02816642965311,-0.035672866654351765,-0.023601576511879094,291.323645,292.29168000000004,292.98361347715786,289.66367652284214,20783.7,0.8590385734975005
IBM,2025-06-30 12:40:00+00:00,290.6583,290.6583,290.6583,290.6583,251.0,2.0,290.6583,64.02816642965311,-0.026965736712099897,-0.024602338113563053,291.323645,292.29168000000004,292.98361347715786,289.66367652284214,20783.7,0.8590385734975005
IBM,2025-06-30 12:45:00+00:00,290.17,290.17,290.17,290.17,309.0,17.0,290.17,64.02816642965311,-0.04210469849618903,-0.029346450889667326,291.323645,292.29168000000004,292.98361347715786,289.66367652284214,20783.7,0.8590385734975005
IBM,2025-06-30 13:05:00+00:00,290.11,290.11,290.11,290.11,343.0,10.0,290.11,64.02816642965311,-0.053806324502943426,-0.03553659237113732,291.323645,292.29168000000004,292.98361347715786,289.66367652284214,20783.7,0.8590385734975005
IBM,2025-06-30 13:10:00+00:00,290.35,290.35,290.35,290.35,100.0,1.0,290.35,64.02816642965311,-0.04937313571883806,-0.038861773933845135,291.323645,292.29168000000004,292.98361347715786,289.66367652284214,20783.7,0.8590385734975005
IBM,2025-06-30 13:25:00+00:00,290.36,290.7,290.2,290.7,1187.0,26.0,290.474879,64.02816642965311,-0.02818722850958011,-0.03639590098414699,291.323645,292.29168000000004,292.98361347715786,289.66367652284214,20783.7,0.8590385734975005
IBM,2025-06-30 13:30:00+00:00,290.93,291.27,290.0,291.105,86463.0,2332.0,291.097741,64.02816642965311,0.008112862168786705,-0.026423354307734643,291.323645,292.29168000000004,292.98361347715786,289.66367652284214,20783.7,0.8590385734975005
