symbol,timestamp,Open,High,Low,Close,Volume,trade_count,vwap,RSI,MACD,Signal,MA_20,MA_50,BB_upper,BB_lower,Volume_MA,Volume_Ratio
TSLA,2025-06-30 08:00:00+00:00,323.69,325.88,322.88,324.65,118847.0,3433.0,324.115458,26.7529665587916,0.0,0.0,320.65700000000004,320.5856,323.44889126616806,317.865108733832,52610.8,0.2362252617333323
TSLA,2025-06-30 08:05:00+00:00,324.5,324.67,321.5,321.72,102736.0,3646.0,322.977818,26.7529665587916,-0.06573717948720059,-0.036520655270666995,320.65700000000004,320.5856,323.44889126616806,317.865108733832,52610.8,0.2362252617333323
TSLA,2025-06-30 08:10:00+00:00,321.83,323.21,321.76,322.41,58811.0,1727.0,322.625461,26.7529665587916,-0.0623653559188142,-0.04711274570023552,320.65700000000004,320.5856,323.44889126616806,317.865108733832,52610.8,0.2362252617333323
TSLA,2025-06-30 08:15:00+00:00,322.41,322.94,321.47,321.84,42563.0,1558.0,322.012156,26.7529665587916,-0.07988300082138267,-0.05821378063287344,320.65700000000004,320.5856,323.44889126616806,317.865108733832,52610.8,0.2362252617333323
TSLA,2025-06-30 08:20:00+00:00,321.86,321.93,320.32,321.0,74115.0,2338.0,320.963747,26.7529665587916,-0.12114562199008105,-0.07693458065584095,320.65700000000004,320.5856,323.44889126616806,317.865108733832,52610.8,0.2362252617333323
TSLA,2025-06-30 08:25:00+00:00,320.9,321.27,320.5,320.52,38151.0,1352.0,320.93262,26.7529665587916,-0.16419799929235523,-0.10058781885855646,320.65700000000004,320.5856,323.44889126616806,317.865108733832,52610.8,0.2362252617333323
TSLA,2025-06-30 08:30:00+00:00,320.42,320.42,319.03,319.75,107560.0,3176.0,319.725802,26.7529665587916,-0.22386195243598195,-0.13178521341237437,320.65700000000004,320.5856,323.44889126616806,317.865108733832,52610.8,0.2362252617333323
TSLA,2025-06-30 08:35:00+00:00,319.75,320.21,319.5,319.76,47179.0,1517.0,319.771667,26.7529665587916,-0.25979346385997815,-0.16254800319061677,320.65700000000004,320.5856,323.44889126616806,317.865108733832,52610.8,0.2362252617333323
TSLA,2025-06-30 08:40:00+00:00,319.75,319.8,318.41,318.73,91017.0,2609.0,319.123491,26.7529665587916,-0.33182454072624523,-0.20165172314658011,320.65700000000004,320.5856,323.44889126616806,317.865108733832,52610.8,0.2362252617333323
TSLA,2025-06-30 08:45:00+00:00,318.75,319.16,318.3,318.71,70407.0,2046.0,318.669571,26.7529665587916,-0.3791239705315661,-0.24141580881063923,320.65700000000004,320.5856,323.44889126616806,317.865108733832,52610.8,0.2362252617333323
TSLA,2025-06-30 08:50:00+00:00,318.77,319.52,318.66,319.45,52327.0,1503.0,319.096758,26.7529665587916,-0.3685624638997069,-0.2692347704362678,320.65700000000004,320.5856,323.44889126616806,317.865108733832,52610.8,0.2362252617333323
TSLA,2025-06-30 08:55:00+00:00,319.51,319.98,319.1,319.3,41120.0,1407.0,319.641778,26.7529665587916,-0.36404472101492047,-0.2895959716447625,320.65700000000004,320.5856,323.44889126616806,317.865108733832,52610.8,0.2362252617333323
TSLA,2025-06-30 09:00:00+00:00,319.3,319.65,319.21,319.37,19843.0,772.0,319.433356,26.7529665587916,-0.35191086604481825,-0.3027839683087287,320.65700000000004,320.5856,323.44889126616806,317.865108733832,52610.8,0.2362252617333323
TSLA,2025-06-30 09:05:00+00:00,319.58,320.34,319.58,320.34,42162.0,1150.0,319.930453,26.7529665587916,-0.2820404404234864,-0.2984444067980632,320.65700000000004,320.5856,323.44889126616806,317.865108733832,52610.8,0.2362252617333323
TSLA,2025-06-30 09:10:00+00:00,320.45,320.75,320.12,320.75,30533.0,986.0,320.504097,29.855371900826455,-0.20141901058383382,-0.27833167366908396,320.65700000000004,320.5856,323.44889126616806,317.865108733832,52610.8,0.2362252617333323
TSLA,2025-06-30 09:15:00+00:00,320.72,320.95,320.56,320.8,36500.0,1036.0,320.80093,43.23529411764695,-0.1346798661596722,-0.2487692025811017,320.65700000000004,320.5856,323.44889126616806,317.865108733832,52610.8,0.2362252617333323
TSLA,2025-06-30 09:20:00+00:00,320.7,320.73,320.3,320.5,17272.0,705.0,320.440977,35.10140405616211,-0.10067596430906178,-0.21846823785954894,320.65700000000004,320.5856,323.44889126616806,317.865108733832,52610.8,0.2362252617333323
TSLA,2025-06-30 09:25:00+00:00,320.54,321.48,320.54,321.48,32521.0,897.0,321.06766,47.36070381231703,-0.011609687407769798,-0.1763375691129204,320.65700000000004,320.5856,323.44889126616806,317.865108733832,52610.8,0.2362252617333323
TSLA,2025-06-30 09:30:00+00:00,321.5,321.51,321.17,321.3,16124.0,666.0,321.308486,52.43506493506502,0.04543301655604637,-0.1313348950961426,320.65700000000004,320.5856,323.44889126616806,317.865108733832,52610.8,0.2362252617333323
TSLA,2025-06-30 09:35:00+00:00,321.15,321.26,320.76,320.76,12428.0,606.0,321.110448,51.92926045016083,0.05365072071111854,-0.09390624902525593,320.65700000000004,320.5856,323.44889126616806,317.865108733832,52610.8,0.2362252617333323
TSLA,2025-06-30 09:40:00+00:00,320.67,320.7,320.25,320.25,15582.0,633.0,320.548954,54.19463087248319,0.025615683125295163,-0.06977933105459969,320.437,320.5856,322.50317979550874,318.3708202044913,47447.55,0.3284047332264785
TSLA,2025-06-30 09:45:00+00:00,320.23,320.25,319.9,320.18,27104.0,1189.0,320.06013,53.48837209302336,-0.001089901791203829,-0.05593932397448645,320.36,320.5856,322.33774991766967,318.38225008233036,43665.95,0.6207124773421854
TSLA,2025-06-30 09:50:00+00:00,320.14,320.5,320.14,320.25,10766.0,453.0,320.326977,65.01976284584944,-0.017032766904549135,-0.048111807056074485,320.252,320.5856,321.9783237483771,318.52567625162294,41263.7,0.26090728654967926
TSLA,2025-06-30 09:55:00+00:00,320.2,320.2,319.62,319.8,21250.0,898.0,319.818572,59.927140255009384,-0.06015030291439416,-0.05053093021385667,320.15,320.5856,321.7147700352314,318.58522996476853,40198.05,0.5286326078006272
TSLA,2025-06-30 10:00:00+00:00,319.75,319.75,319.09,319.16,25378.0,1160.0,319.352638,47.30983302411907,-0.13745637068205951,-0.06798194638257497,320.058,320.5856,321.6287001455939,318.4872998544061,37761.2,0.6720655063928054
TSLA,2025-06-30 10:05:00+00:00,319.2,320.0,319.14,319.91,44907.0,839.0,319.34951,55.091819699499275,-0.1433619629522127,-0.08310365224814628,320.0275,320.5856,321.58405320973526,318.4709467902647,38099.0,1.1786923541300296
TSLA,2025-06-30 10:10:00+00:00,319.8,320.15,319.75,320.12,18747.0,565.0,319.958598,56.11745513866233,-0.13140280439347407,-0.09278689532235185,320.046,320.5856,321.5974529692484,318.49454703075156,33658.35,0.5569791745584677
TSLA,2025-06-30 10:15:00+00:00,320.11,320.33,320.01,320.13,17608.0,615.0,320.183059,47.96905222437157,-0.11983128535780452,-0.09820625589732218,320.06450000000007,320.5856,321.61040767069585,318.5185923293043,32179.8,0.5471755573372116
TSLA,2025-06-30 10:20:00+00:00,320.02,320.23,319.96,320.0,10827.0,490.0,320.089771,42.33128834355826,-0.11878050314913935,-0.10232748263717592,320.128,320.5856,321.5417907237376,318.71420927626235,28170.3,0.38434095483541175
TSLA,2025-06-30 10:25:00+00:00,320.0,320.06,319.84,319.84,14913.0,610.0,319.964132,40.399999999999636,-0.1282023921684754,-0.10750887880120667,320.18449999999996,320.5856,321.4412874668544,318.9277125331455,25395.6,0.5872277087369466
